"MTU","Scheduled Generation [MW] (D) - BZN|DK1","Scheduled Consumption [MW] (D) - BZN|DK1"
"01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","2024",""
"01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","2125",""
"01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","2010",""
"01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","1956",""
"01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","1968",""
"01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","1937",""
"01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","1810",""
"01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","1712",""
"01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","1557",""
"01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","1445",""
"01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","1145",""
"01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","957",""
"01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","923",""
"01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","912",""
"01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","984",""
"01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","1064",""
"01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","1161",""
"01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","1572",""
"01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","1449",""
"01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","1388",""
"01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","1302",""
"01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","1397",""
"01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","1446",""
"01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","1720",""
"02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST)","1838",""
"02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST)","2114",""
"02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST)","2469",""
"02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST)","2811",""
"02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST)","3145",""
"02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST)","3152",""
"02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST)","3306",""
"02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST)","3469",""
"02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST)","3859",""
"02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST)","3932",""
"02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST)","4295",""
"02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST)","4423",""
"02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST)","4572",""
"02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST)","4436",""
"02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST)","4559",""
"02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST)","4564",""
"02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST)","4665",""
"02.01.2016 17:00 - 02.01.2016 18:00 (CET/CEST)","4559",""
"02.01.2016 18:00 - 02.01.2016 19:00 (CET/CEST)","4604",""
"02.01.2016 19:00 - 02.01.2016 20:00 (CET/CEST)","4579",""
"02.01.2016 20:00 - 02.01.2016 21:00 (CET/CEST)","4398",""
"02.01.2016 21:00 - 02.01.2016 22:00 (CET/CEST)","4277",""
"02.01.2016 22:00 - 02.01.2016 23:00 (CET/CEST)","4157",""
"02.01.2016 23:00 - 03.01.2016 00:00 (CET/CEST)","4295",""
"03.01.2016 00:00 - 03.01.2016 01:00 (CET/CEST)","4208",""
"03.01.2016 01:00 - 03.01.2016 02:00 (CET/CEST)","3708",""
"03.01.2016 02:00 - 03.01.2016 03:00 (CET/CEST)","4119",""
"03.01.2016 03:00 - 03.01.2016 04:00 (CET/CEST)","4232",""
"03.01.2016 04:00 - 03.01.2016 05:00 (CET/CEST)","4195",""
"03.01.2016 05:00 - 03.01.2016 06:00 (CET/CEST)","4212",""
"03.01.2016 06:00 - 03.01.2016 07:00 (CET/CEST)","4066",""
"03.01.2016 07:00 - 03.01.2016 08:00 (CET/CEST)","4089",""
"03.01.2016 08:00 - 03.01.2016 09:00 (CET/CEST)","4111",""
"03.01.2016 09:00 - 03.01.2016 10:00 (CET/CEST)","4343",""
"03.01.2016 10:00 - 03.01.2016 11:00 (CET/CEST)","4424",""
"03.01.2016 11:00 - 03.01.2016 12:00 (CET/CEST)","4542",""
"03.01.2016 12:00 - 03.01.2016 13:00 (CET/CEST)","4727",""
"03.01.2016 13:00 - 03.01.2016 14:00 (CET/CEST)","4692",""
"03.01.2016 14:00 - 03.01.2016 15:00 (CET/CEST)","4638",""
"03.01.2016 15:00 - 03.01.2016 16:00 (CET/CEST)","4488",""
"03.01.2016 16:00 - 03.01.2016 17:00 (CET/CEST)","4469",""
"03.01.2016 17:00 - 03.01.2016 18:00 (CET/CEST)","4450",""
"03.01.2016 18:00 - 03.01.2016 19:00 (CET/CEST)","4486",""
"03.01.2016 19:00 - 03.01.2016 20:00 (CET/CEST)","4448",""
"03.01.2016 20:00 - 03.01.2016 21:00 (CET/CEST)","4271",""
"03.01.2016 21:00 - 03.01.2016 22:00 (CET/CEST)","4297",""
"03.01.2016 22:00 - 03.01.2016 23:00 (CET/CEST)","4255",""
"03.01.2016 23:00 - 04.01.2016 00:00 (CET/CEST)","4157",""
"04.01.2016 00:00 - 04.01.2016 01:00 (CET/CEST)","4171",""
"04.01.2016 01:00 - 04.01.2016 02:00 (CET/CEST)","4130",""
"04.01.2016 02:00 - 04.01.2016 03:00 (CET/CEST)","4080",""
"04.01.2016 03:00 - 04.01.2016 04:00 (CET/CEST)","4003",""
"04.01.2016 04:00 - 04.01.2016 05:00 (CET/CEST)","4043",""
"04.01.2016 05:00 - 04.01.2016 06:00 (CET/CEST)","4085",""
"04.01.2016 06:00 - 04.01.2016 07:00 (CET/CEST)","4332",""
"04.01.2016 07:00 - 04.01.2016 08:00 (CET/CEST)","4134",""
"04.01.2016 08:00 - 04.01.2016 09:00 (CET/CEST)","4309",""
"04.01.2016 09:00 - 04.01.2016 10:00 (CET/CEST)","4227",""
"04.01.2016 10:00 - 04.01.2016 11:00 (CET/CEST)","4352",""
"04.01.2016 11:00 - 04.01.2016 12:00 (CET/CEST)","4392",""
"04.01.2016 12:00 - 04.01.2016 13:00 (CET/CEST)","4450",""
"04.01.2016 13:00 - 04.01.2016 14:00 (CET/CEST)","4554",""
"04.01.2016 14:00 - 04.01.2016 15:00 (CET/CEST)","4414",""
"04.01.2016 15:00 - 04.01.2016 16:00 (CET/CEST)","4339",""
"04.01.2016 16:00 - 04.01.2016 17:00 (CET/CEST)","4073",""
"04.01.2016 17:00 - 04.01.2016 18:00 (CET/CEST)","4098",""
"04.01.2016 18:00 - 04.01.2016 19:00 (CET/CEST)","3958",""
"04.01.2016 19:00 - 04.01.2016 20:00 (CET/CEST)","3891",""
"04.01.2016 20:00 - 04.01.2016 21:00 (CET/CEST)","3928",""
"04.01.2016 21:00 - 04.01.2016 22:00 (CET/CEST)","3806",""
"04.01.2016 22:00 - 04.01.2016 23:00 (CET/CEST)","3695",""
