"MTU","Scheduled Generation [MW] (D) - BZN|DK1","Scheduled Consumption [MW] (D) - BZN|DK1"
"04.01.2016 23:00 - 05.01.2016 00:00 (CET/CEST)","3682",""
"05.01.2016 00:00 - 05.01.2016 01:00 (CET/CEST)","3639",""
"05.01.2016 01:00 - 05.01.2016 02:00 (CET/CEST)","3516",""
"05.01.2016 02:00 - 05.01.2016 03:00 (CET/CEST)","3530",""
"05.01.2016 03:00 - 05.01.2016 04:00 (CET/CEST)","3535",""
"05.01.2016 04:00 - 05.01.2016 05:00 (CET/CEST)","3548",""
"05.01.2016 05:00 - 05.01.2016 06:00 (CET/CEST)","3487",""
"05.01.2016 06:00 - 05.01.2016 07:00 (CET/CEST)","3643",""
"05.01.2016 07:00 - 05.01.2016 08:00 (CET/CEST)","3864",""
"05.01.2016 08:00 - 05.01.2016 09:00 (CET/CEST)","4088",""
"05.01.2016 09:00 - 05.01.2016 10:00 (CET/CEST)","4038",""
"05.01.2016 10:00 - 05.01.2016 11:00 (CET/CEST)","4051",""
"05.01.2016 11:00 - 05.01.2016 12:00 (CET/CEST)","4128",""
"05.01.2016 12:00 - 05.01.2016 13:00 (CET/CEST)","4032",""
"05.01.2016 13:00 - 05.01.2016 14:00 (CET/CEST)","3920",""
"05.01.2016 14:00 - 05.01.2016 15:00 (CET/CEST)","3751",""
"05.01.2016 15:00 - 05.01.2016 16:00 (CET/CEST)","3373",""
"05.01.2016 16:00 - 05.01.2016 17:00 (CET/CEST)","3238",""
"05.01.2016 17:00 - 05.01.2016 18:00 (CET/CEST)","3313",""
"05.01.2016 18:00 - 05.01.2016 19:00 (CET/CEST)","3371",""
"05.01.2016 19:00 - 05.01.2016 20:00 (CET/CEST)","3243",""
"05.01.2016 20:00 - 05.01.2016 21:00 (CET/CEST)","2972",""
"05.01.2016 21:00 - 05.01.2016 22:00 (CET/CEST)","3255",""
"05.01.2016 22:00 - 05.01.2016 23:00 (CET/CEST)","3335",""
"05.01.2016 23:00 - 06.01.2016 00:00 (CET/CEST)","3035",""
"06.01.2016 00:00 - 06.01.2016 01:00 (CET/CEST)","2820",""
"06.01.2016 01:00 - 06.01.2016 02:00 (CET/CEST)","2753",""
"06.01.2016 02:00 - 06.01.2016 03:00 (CET/CEST)","2785",""
"06.01.2016 03:00 - 06.01.2016 04:00 (CET/CEST)","2746",""
"06.01.2016 04:00 - 06.01.2016 05:00 (CET/CEST)","2835",""
"06.01.2016 05:00 - 06.01.2016 06:00 (CET/CEST)","2819",""
"06.01.2016 06:00 - 06.01.2016 07:00 (CET/CEST)","2967",""
"06.01.2016 07:00 - 06.01.2016 08:00 (CET/CEST)","3328",""
"06.01.2016 08:00 - 06.01.2016 09:00 (CET/CEST)","3709",""
"06.01.2016 09:00 - 06.01.2016 10:00 (CET/CEST)","3879",""
"06.01.2016 10:00 - 06.01.2016 11:00 (CET/CEST)","4006",""
"06.01.2016 11:00 - 06.01.2016 12:00 (CET/CEST)","4451",""
"06.01.2016 12:00 - 06.01.2016 13:00 (CET/CEST)","4230",""
"06.01.2016 13:00 - 06.01.2016 14:00 (CET/CEST)","4095",""
"06.01.2016 14:00 - 06.01.2016 15:00 (CET/CEST)","4062",""
"06.01.2016 15:00 - 06.01.2016 16:00 (CET/CEST)","3892",""
"06.01.2016 16:00 - 06.01.2016 17:00 (CET/CEST)","3889",""
"06.01.2016 17:00 - 06.01.2016 18:00 (CET/CEST)","4153",""
"06.01.2016 18:00 - 06.01.2016 19:00 (CET/CEST)","3980",""
"06.01.2016 19:00 - 06.01.2016 20:00 (CET/CEST)","3709",""
"06.01.2016 20:00 - 06.01.2016 21:00 (CET/CEST)","3464",""
"06.01.2016 21:00 - 06.01.2016 22:00 (CET/CEST)","3324",""
"06.01.2016 22:00 - 06.01.2016 23:00 (CET/CEST)","3379",""
"06.01.2016 23:00 - 07.01.2016 00:00 (CET/CEST)","3092",""
"07.01.2016 00:00 - 07.01.2016 01:00 (CET/CEST)","2675",""
"07.01.2016 01:00 - 07.01.2016 02:00 (CET/CEST)","2428",""
"07.01.2016 02:00 - 07.01.2016 03:00 (CET/CEST)","2546",""
"07.01.2016 03:00 - 07.01.2016 04:00 (CET/CEST)","2581",""
"07.01.2016 04:00 - 07.01.2016 05:00 (CET/CEST)","2513",""
"07.01.2016 05:00 - 07.01.2016 06:00 (CET/CEST)","2801",""
"07.01.2016 06:00 - 07.01.2016 07:00 (CET/CEST)","3274",""
"07.01.2016 07:00 - 07.01.2016 08:00 (CET/CEST)","3478",""
"07.01.2016 08:00 - 07.01.2016 09:00 (CET/CEST)","3835",""
"07.01.2016 09:00 - 07.01.2016 10:00 (CET/CEST)","3994",""
"07.01.2016 10:00 - 07.01.2016 11:00 (CET/CEST)","3923",""
"07.01.2016 11:00 - 07.01.2016 12:00 (CET/CEST)","4032",""
"07.01.2016 12:00 - 07.01.2016 13:00 (CET/CEST)","4051",""
"07.01.2016 13:00 - 07.01.2016 14:00 (CET/CEST)","3956",""
"07.01.2016 14:00 - 07.01.2016 15:00 (CET/CEST)","4092",""
"07.01.2016 15:00 - 07.01.2016 16:00 (CET/CEST)","4047",""
"07.01.2016 16:00 - 07.01.2016 17:00 (CET/CEST)","4237",""
"07.01.2016 17:00 - 07.01.2016 18:00 (CET/CEST)","4314",""
"07.01.2016 18:00 - 07.01.2016 19:00 (CET/CEST)","4313",""
"07.01.2016 19:00 - 07.01.2016 20:00 (CET/CEST)","4339",""
"07.01.2016 20:00 - 07.01.2016 21:00 (CET/CEST)","4198",""
"07.01.2016 21:00 - 07.01.2016 22:00 (CET/CEST)","4095",""
"07.01.2016 22:00 - 07.01.2016 23:00 (CET/CEST)","4000",""
"07.01.2016 23:00 - 08.01.2016 00:00 (CET/CEST)","3766",""
"08.01.2016 00:00 - 08.01.2016 01:00 (CET/CEST)","4033",""
"08.01.2016 01:00 - 08.01.2016 02:00 (CET/CEST)","3854",""
"08.01.2016 02:00 - 08.01.2016 03:00 (CET/CEST)","3778",""
"08.01.2016 03:00 - 08.01.2016 04:00 (CET/CEST)","3733",""
"08.01.2016 04:00 - 08.01.2016 05:00 (CET/CEST)","3662",""
"08.01.2016 05:00 - 08.01.2016 06:00 (CET/CEST)","3677",""
"08.01.2016 06:00 - 08.01.2016 07:00 (CET/CEST)","3899",""
"08.01.2016 07:00 - 08.01.2016 08:00 (CET/CEST)","4340",""
"08.01.2016 08:00 - 08.01.2016 09:00 (CET/CEST)","4250",""
"08.01.2016 09:00 - 08.01.2016 10:00 (CET/CEST)","3913",""
"08.01.2016 10:00 - 08.01.2016 11:00 (CET/CEST)","3752",""
"08.01.2016 11:00 - 08.01.2016 12:00 (CET/CEST)","3646",""
"08.01.2016 12:00 - 08.01.2016 13:00 (CET/CEST)","3597",""
"08.01.2016 13:00 - 08.01.2016 14:00 (CET/CEST)","3397",""
"08.01.2016 14:00 - 08.01.2016 15:00 (CET/CEST)","3163",""
"08.01.2016 15:00 - 08.01.2016 16:00 (CET/CEST)","3102",""
"08.01.2016 16:00 - 08.01.2016 17:00 (CET/CEST)","3187",""
"08.01.2016 17:00 - 08.01.2016 18:00 (CET/CEST)","3140",""
"08.01.2016 18:00 - 08.01.2016 19:00 (CET/CEST)","2986",""
"08.01.2016 19:00 - 08.01.2016 20:00 (CET/CEST)","2857",""
"08.01.2016 20:00 - 08.01.2016 21:00 (CET/CEST)","2621",""
"08.01.2016 21:00 - 08.01.2016 22:00 (CET/CEST)","2019",""
"08.01.2016 22:00 - 08.01.2016 23:00 (CET/CEST)","1754",""
"08.01.2016 23:00 - 09.01.2016 00:00 (CET/CEST)","1767",""
"09.01.2016 00:00 - 09.01.2016 01:00 (CET/CEST)","1763",""
"09.01.2016 01:00 - 09.01.2016 02:00 (CET/CEST)","1892",""
"09.01.2016 02:00 - 09.01.2016 03:00 (CET/CEST)","2216",""
"09.01.2016 03:00 - 09.01.2016 04:00 (CET/CEST)","2225",""
"09.01.2016 04:00 - 09.01.2016 05:00 (CET/CEST)","2102",""
"09.01.2016 05:00 - 09.01.2016 06:00 (CET/CEST)","2282",""
"09.01.2016 06:00 - 09.01.2016 07:00 (CET/CEST)","2403",""
"09.01.2016 07:00 - 09.01.2016 08:00 (CET/CEST)","2445",""
"09.01.2016 08:00 - 09.01.2016 09:00 (CET/CEST)","2592",""
"09.01.2016 09:00 - 09.01.2016 10:00 (CET/CEST)","2892",""
"09.01.2016 10:00 - 09.01.2016 11:00 (CET/CEST)","3063",""
"09.01.2016 11:00 - 09.01.2016 12:00 (CET/CEST)","3098",""
"09.01.2016 12:00 - 09.01.2016 13:00 (CET/CEST)","2917",""
"09.01.2016 13:00 - 09.01.2016 14:00 (CET/CEST)","2928",""
"09.01.2016 14:00 - 09.01.2016 15:00 (CET/CEST)","2977",""
"09.01.2016 15:00 - 09.01.2016 16:00 (CET/CEST)","2937",""
"09.01.2016 16:00 - 09.01.2016 17:00 (CET/CEST)","3131",""
"09.01.2016 17:00 - 09.01.2016 18:00 (CET/CEST)","3346",""
"09.01.2016 18:00 - 09.01.2016 19:00 (CET/CEST)","3191",""
"09.01.2016 19:00 - 09.01.2016 20:00 (CET/CEST)","3049",""
"09.01.2016 20:00 - 09.01.2016 21:00 (CET/CEST)","2822",""
"09.01.2016 21:00 - 09.01.2016 22:00 (CET/CEST)","2830",""
"09.01.2016 22:00 - 09.01.2016 23:00 (CET/CEST)","2767",""
"09.01.2016 23:00 - 10.01.2016 00:00 (CET/CEST)","2668",""
"10.01.2016 00:00 - 10.01.2016 01:00 (CET/CEST)","2487",""
"10.01.2016 01:00 - 10.01.2016 02:00 (CET/CEST)","2634",""
"10.01.2016 02:00 - 10.01.2016 03:00 (CET/CEST)","2598",""
"10.01.2016 03:00 - 10.01.2016 04:00 (CET/CEST)","2584",""
"10.01.2016 04:00 - 10.01.2016 05:00 (CET/CEST)","2721",""
"10.01.2016 05:00 - 10.01.2016 06:00 (CET/CEST)","2883",""
"10.01.2016 06:00 - 10.01.2016 07:00 (CET/CEST)","3088",""
"10.01.2016 07:00 - 10.01.2016 08:00 (CET/CEST)","3202",""
"10.01.2016 08:00 - 10.01.2016 09:00 (CET/CEST)","3358",""
"10.01.2016 09:00 - 10.01.2016 10:00 (CET/CEST)","3520",""
"10.01.2016 10:00 - 10.01.2016 11:00 (CET/CEST)","3827",""
"10.01.2016 11:00 - 10.01.2016 12:00 (CET/CEST)","3872",""
"10.01.2016 12:00 - 10.01.2016 13:00 (CET/CEST)","3833",""
"10.01.2016 13:00 - 10.01.2016 14:00 (CET/CEST)","3524",""
"10.01.2016 14:00 - 10.01.2016 15:00 (CET/CEST)","3323",""
"10.01.2016 15:00 - 10.01.2016 16:00 (CET/CEST)","3243",""
"10.01.2016 16:00 - 10.01.2016 17:00 (CET/CEST)","3201",""
"10.01.2016 17:00 - 10.01.2016 18:00 (CET/CEST)","3270",""
"10.01.2016 18:00 - 10.01.2016 19:00 (CET/CEST)","2849",""
"10.01.2016 19:00 - 10.01.2016 20:00 (CET/CEST)","2739",""
"10.01.2016 20:00 - 10.01.2016 21:00 (CET/CEST)","2610",""
"10.01.2016 21:00 - 10.01.2016 22:00 (CET/CEST)","2343",""
"10.01.2016 22:00 - 10.01.2016 23:00 (CET/CEST)","2199",""
"10.01.2016 23:00 - 11.01.2016 00:00 (CET/CEST)","2116",""
"11.01.2016 00:00 - 11.01.2016 01:00 (CET/CEST)","1815",""
"11.01.2016 01:00 - 11.01.2016 02:00 (CET/CEST)","1696",""
"11.01.2016 02:00 - 11.01.2016 03:00 (CET/CEST)","1588",""
"11.01.2016 03:00 - 11.01.2016 04:00 (CET/CEST)","1540",""
"11.01.2016 04:00 - 11.01.2016 05:00 (CET/CEST)","1624",""
"11.01.2016 05:00 - 11.01.2016 06:00 (CET/CEST)","1733",""
"11.01.2016 06:00 - 11.01.2016 07:00 (CET/CEST)","2232",""
"11.01.2016 07:00 - 11.01.2016 08:00 (CET/CEST)","3018",""
"11.01.2016 08:00 - 11.01.2016 09:00 (CET/CEST)","3086",""
"11.01.2016 09:00 - 11.01.2016 10:00 (CET/CEST)","2889",""
"11.01.2016 10:00 - 11.01.2016 11:00 (CET/CEST)","2805",""
"11.01.2016 11:00 - 11.01.2016 12:00 (CET/CEST)","2831",""
"11.01.2016 12:00 - 11.01.2016 13:00 (CET/CEST)","2860",""
"11.01.2016 13:00 - 11.01.2016 14:00 (CET/CEST)","2934",""
"11.01.2016 14:00 - 11.01.2016 15:00 (CET/CEST)","2988",""
"11.01.2016 15:00 - 11.01.2016 16:00 (CET/CEST)","3014",""
"11.01.2016 16:00 - 11.01.2016 17:00 (CET/CEST)","3110",""
"11.01.2016 17:00 - 11.01.2016 18:00 (CET/CEST)","3207",""
"11.01.2016 18:00 - 11.01.2016 19:00 (CET/CEST)","3275",""
"11.01.2016 19:00 - 11.01.2016 20:00 (CET/CEST)","2902",""
"11.01.2016 20:00 - 11.01.2016 21:00 (CET/CEST)","2776",""
"11.01.2016 21:00 - 11.01.2016 22:00 (CET/CEST)","2342",""
"11.01.2016 22:00 - 11.01.2016 23:00 (CET/CEST)","2301",""
"11.01.2016 23:00 - 12.01.2016 00:00 (CET/CEST)","2099",""
"12.01.2016 00:00 - 12.01.2016 01:00 (CET/CEST)","1880",""
"12.01.2016 01:00 - 12.01.2016 02:00 (CET/CEST)","1906",""
"12.01.2016 02:00 - 12.01.2016 03:00 (CET/CEST)","1924",""
"12.01.2016 03:00 - 12.01.2016 04:00 (CET/CEST)","1946",""
"12.01.2016 04:00 - 12.01.2016 05:00 (CET/CEST)","2045",""
"12.01.2016 05:00 - 12.01.2016 06:00 (CET/CEST)","2131",""
"12.01.2016 06:00 - 12.01.2016 07:00 (CET/CEST)","2466",""
"12.01.2016 07:00 - 12.01.2016 08:00 (CET/CEST)","3061",""
"12.01.2016 08:00 - 12.01.2016 09:00 (CET/CEST)","3053",""
"12.01.2016 09:00 - 12.01.2016 10:00 (CET/CEST)","3016",""
"12.01.2016 10:00 - 12.01.2016 11:00 (CET/CEST)","3081",""
"12.01.2016 11:00 - 12.01.2016 12:00 (CET/CEST)","3063",""
"12.01.2016 12:00 - 12.01.2016 13:00 (CET/CEST)","3165",""
"12.01.2016 13:00 - 12.01.2016 14:00 (CET/CEST)","3088",""
"12.01.2016 14:00 - 12.01.2016 15:00 (CET/CEST)","3032",""
"12.01.2016 15:00 - 12.01.2016 16:00 (CET/CEST)","2952",""
"12.01.2016 16:00 - 12.01.2016 17:00 (CET/CEST)","2910",""
"12.01.2016 17:00 - 12.01.2016 18:00 (CET/CEST)","2916",""
"12.01.2016 18:00 - 12.01.2016 19:00 (CET/CEST)","2923",""
"12.01.2016 19:00 - 12.01.2016 20:00 (CET/CEST)","2820",""
"12.01.2016 20:00 - 12.01.2016 21:00 (CET/CEST)","2539",""
"12.01.2016 21:00 - 12.01.2016 22:00 (CET/CEST)","2388",""
"12.01.2016 22:00 - 12.01.2016 23:00 (CET/CEST)","2361",""
"12.01.2016 23:00 - 13.01.2016 00:00 (CET/CEST)","2356",""
"13.01.2016 00:00 - 13.01.2016 01:00 (CET/CEST)","2386",""
"13.01.2016 01:00 - 13.01.2016 02:00 (CET/CEST)","2307",""
"13.01.2016 02:00 - 13.01.2016 03:00 (CET/CEST)","2324",""
"13.01.2016 03:00 - 13.01.2016 04:00 (CET/CEST)","2368",""
"13.01.2016 04:00 - 13.01.2016 05:00 (CET/CEST)","2343",""
"13.01.2016 05:00 - 13.01.2016 06:00 (CET/CEST)","2554",""
"13.01.2016 06:00 - 13.01.2016 07:00 (CET/CEST)","2797",""
"13.01.2016 07:00 - 13.01.2016 08:00 (CET/CEST)","3075",""
"13.01.2016 08:00 - 13.01.2016 09:00 (CET/CEST)","3063",""
"13.01.2016 09:00 - 13.01.2016 10:00 (CET/CEST)","2892",""
"13.01.2016 10:00 - 13.01.2016 11:00 (CET/CEST)","2854",""
"13.01.2016 11:00 - 13.01.2016 12:00 (CET/CEST)","2716",""
"13.01.2016 12:00 - 13.01.2016 13:00 (CET/CEST)","2658",""
"13.01.2016 13:00 - 13.01.2016 14:00 (CET/CEST)","2552",""
"13.01.2016 14:00 - 13.01.2016 15:00 (CET/CEST)","2460",""
"13.01.2016 15:00 - 13.01.2016 16:00 (CET/CEST)","2482",""
"13.01.2016 16:00 - 13.01.2016 17:00 (CET/CEST)","2683",""
"13.01.2016 17:00 - 13.01.2016 18:00 (CET/CEST)","2708",""
"13.01.2016 18:00 - 13.01.2016 19:00 (CET/CEST)","2834",""
"13.01.2016 19:00 - 13.01.2016 20:00 (CET/CEST)","2862",""
"13.01.2016 20:00 - 13.01.2016 21:00 (CET/CEST)","2765",""
"13.01.2016 21:00 - 13.01.2016 22:00 (CET/CEST)","2637",""
"13.01.2016 22:00 - 13.01.2016 23:00 (CET/CEST)","2229",""
"13.01.2016 23:00 - 14.01.2016 00:00 (CET/CEST)","1903",""
"14.01.2016 00:00 - 14.01.2016 01:00 (CET/CEST)","1954",""
"14.01.2016 01:00 - 14.01.2016 02:00 (CET/CEST)","1701",""
"14.01.2016 02:00 - 14.01.2016 03:00 (CET/CEST)","1735",""
"14.01.2016 03:00 - 14.01.2016 04:00 (CET/CEST)","1796",""
"14.01.2016 04:00 - 14.01.2016 05:00 (CET/CEST)","1938",""
"14.01.2016 05:00 - 14.01.2016 06:00 (CET/CEST)","2060",""
"14.01.2016 06:00 - 14.01.2016 07:00 (CET/CEST)","2534",""
"14.01.2016 07:00 - 14.01.2016 08:00 (CET/CEST)","3624",""
"14.01.2016 08:00 - 14.01.2016 09:00 (CET/CEST)","3520",""
"14.01.2016 09:00 - 14.01.2016 10:00 (CET/CEST)","3449",""
"14.01.2016 10:00 - 14.01.2016 11:00 (CET/CEST)","3207",""
"14.01.2016 11:00 - 14.01.2016 12:00 (CET/CEST)","3208",""
"14.01.2016 12:00 - 14.01.2016 13:00 (CET/CEST)","3169",""
"14.01.2016 13:00 - 14.01.2016 14:00 (CET/CEST)","3011",""
"14.01.2016 14:00 - 14.01.2016 15:00 (CET/CEST)","3158",""
"14.01.2016 15:00 - 14.01.2016 16:00 (CET/CEST)","3545",""
"14.01.2016 16:00 - 14.01.2016 17:00 (CET/CEST)","3587",""
"14.01.2016 17:00 - 14.01.2016 18:00 (CET/CEST)","3742",""
"14.01.2016 18:00 - 14.01.2016 19:00 (CET/CEST)","3765",""
"14.01.2016 19:00 - 14.01.2016 20:00 (CET/CEST)","3826",""
"14.01.2016 20:00 - 14.01.2016 21:00 (CET/CEST)","3872",""
"14.01.2016 21:00 - 14.01.2016 22:00 (CET/CEST)","3671",""
"14.01.2016 22:00 - 14.01.2016 23:00 (CET/CEST)","3386",""
"14.01.2016 23:00 - 15.01.2016 00:00 (CET/CEST)","2735",""
"15.01.2016 00:00 - 15.01.2016 01:00 (CET/CEST)","2804",""
"15.01.2016 01:00 - 15.01.2016 02:00 (CET/CEST)","2852",""
"15.01.2016 02:00 - 15.01.2016 03:00 (CET/CEST)","2785",""
"15.01.2016 03:00 - 15.01.2016 04:00 (CET/CEST)","2822",""
"15.01.2016 04:00 - 15.01.2016 05:00 (CET/CEST)","2666",""
"15.01.2016 05:00 - 15.01.2016 06:00 (CET/CEST)","2687",""
"15.01.2016 06:00 - 15.01.2016 07:00 (CET/CEST)","2815",""
"15.01.2016 07:00 - 15.01.2016 08:00 (CET/CEST)","3420",""
"15.01.2016 08:00 - 15.01.2016 09:00 (CET/CEST)","3639",""
"15.01.2016 09:00 - 15.01.2016 10:00 (CET/CEST)","3434",""
"15.01.2016 10:00 - 15.01.2016 11:00 (CET/CEST)","3290",""
"15.01.2016 11:00 - 15.01.2016 12:00 (CET/CEST)","3178",""
"15.01.2016 12:00 - 15.01.2016 13:00 (CET/CEST)","3075",""
"15.01.2016 13:00 - 15.01.2016 14:00 (CET/CEST)","2867",""
"15.01.2016 14:00 - 15.01.2016 15:00 (CET/CEST)","2816",""
"15.01.2016 15:00 - 15.01.2016 16:00 (CET/CEST)","2690",""
"15.01.2016 16:00 - 15.01.2016 17:00 (CET/CEST)","2679",""
"15.01.2016 17:00 - 15.01.2016 18:00 (CET/CEST)","2805",""
"15.01.2016 18:00 - 15.01.2016 19:00 (CET/CEST)","2773",""
"15.01.2016 19:00 - 15.01.2016 20:00 (CET/CEST)","2937",""
