"MTU","Scheduled Generation [MW] (D) - BZN|DK1","Scheduled Consumption [MW] (D) - BZN|DK1"
"01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","2379",""
"01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","2445",""
"01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","2136",""
"01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","2136",""
"01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","2233",""
"01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","2061",""
"01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","2154",""
"01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","2148",""
"01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","2267",""
"01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","2572",""
"01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","3009",""
"01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","3317",""
"01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","3200",""
"01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","3334",""
"01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","3300",""
"01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","3100",""
"01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","3046",""
"01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","3060",""
"01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","3054",""
"01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","3004",""
"01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","2648",""
"01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","2581",""
"01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","2356",""
"01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","2410",""
"02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","2388",""
"02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","2317",""
"02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","2238",""
"02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","2130",""
"02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","2131",""
"02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","2101",""
"02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","2175",""
"02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","2537",""
"02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","2948",""
"02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","2761",""
"02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","2707",""
"02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","2497",""
"02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","2364",""
"02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","2319",""
"02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","2439",""
"02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","2570",""
"02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","2725",""
"02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","2787",""
"02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","2966",""
"02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","2768",""
"02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","2423",""
"02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","2270",""
"02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","2432",""
"02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","2594",""
"03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","2731",""
"03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","2980",""
"03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","3201",""
"03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","3099",""
"03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","3283",""
"03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","3423",""
"03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","3828",""
"03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","3997",""
"03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","4005",""
"03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","3633",""
"03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","3154",""
"03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","2758",""
"03.01.2018 12:00 - 03.01.2018 13:00 (CET/CEST)","2481",""
"03.01.2018 13:00 - 03.01.2018 14:00 (CET/CEST)","2280",""
"03.01.2018 14:00 - 03.01.2018 15:00 (CET/CEST)","1975",""
"03.01.2018 15:00 - 03.01.2018 16:00 (CET/CEST)","1933",""
"03.01.2018 16:00 - 03.01.2018 17:00 (CET/CEST)","1808",""
"03.01.2018 17:00 - 03.01.2018 18:00 (CET/CEST)","1768",""
"03.01.2018 18:00 - 03.01.2018 19:00 (CET/CEST)","1763",""
"03.01.2018 19:00 - 03.01.2018 20:00 (CET/CEST)","1558",""
"03.01.2018 20:00 - 03.01.2018 21:00 (CET/CEST)","1456",""
"03.01.2018 21:00 - 03.01.2018 22:00 (CET/CEST)","1564",""
