"MTU","Scheduled Generation [MW] (D) - BZN|DK1","Scheduled Consumption [MW] (D) - BZN|DK1"
"01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","3214",""
"01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","3223",""
"01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","2974",""
"01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","2935",""
"01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","2654",""
"01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","2303",""
"01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","2154",""
"01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","2003",""
"01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","1963",""
"01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","1958",""
"01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","1903",""
"01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","1943",""
"01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","1973",""
"01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","2015",""
"01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","2094",""
"01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","2091",""
"01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","2271",""
"01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","2203",""
"01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","2136",""
"01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","2044",""
"01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","2144",""
"01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","2156",""
"01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","2189",""
"01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","2197",""
"02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","2152",""
"02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","2046",""
