"MTU","Scheduled Generation [MW] (D) - BZN|DK1","Scheduled Consumption [MW] (D) - BZN|DK1"
"02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","2183",""
"02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","2253",""
"02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","2001",""
"02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","2014",""
"02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","1965",""
"02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","2114",""
"02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","2318",""
"02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","2604",""
"02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","2755",""
"02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","2772",""
"02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","2762",""
"02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","2593",""
"02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","2485",""
"02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","2565",""
"02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","2596",""
"02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","2827",""
"02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","2749",""
"02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","2461",""
"02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","2311",""
"02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","2225",""
"02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","2213",""
"02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","1962",""
"03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","1984",""
"03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","2093",""
"03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","2192",""
"03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","2327",""
"03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","2336",""
"03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","2482",""
"03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","2554",""
"03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","2782",""
"03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","2844",""
"03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","3109",""
"03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","3372",""
"03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","3841",""
"03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","4271",""
"03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","4460",""
"03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","4250",""
"03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","4345",""
"03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","4424",""
"03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","4536",""
"03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","4417",""
"03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","4247",""
"03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","4120",""
"03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","3721",""
"03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","3569",""
"03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","3460",""
"04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","3482",""
"04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","3056",""
"04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","3103",""
"04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","3035",""
"04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","3315",""
"04.01.2017 05:00 - 04.01.2017 06:00 (CET/CEST)","3658",""
"04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","3807",""
"04.01.2017 07:00 - 04.01.2017 08:00 (CET/CEST)","4233",""
"04.01.2017 08:00 - 04.01.2017 09:00 (CET/CEST)","3962",""
"04.01.2017 09:00 - 04.01.2017 10:00 (CET/CEST)","3964",""
"04.01.2017 10:00 - 04.01.2017 11:00 (CET/CEST)","4044",""
"04.01.2017 11:00 - 04.01.2017 12:00 (CET/CEST)","4092",""
"04.01.2017 12:00 - 04.01.2017 13:00 (CET/CEST)","4188",""
"04.01.2017 13:00 - 04.01.2017 14:00 (CET/CEST)","4232",""
"04.01.2017 14:00 - 04.01.2017 15:00 (CET/CEST)","4043",""
"04.01.2017 15:00 - 04.01.2017 16:00 (CET/CEST)","4014",""
"04.01.2017 16:00 - 04.01.2017 17:00 (CET/CEST)","3981",""
"04.01.2017 17:00 - 04.01.2017 18:00 (CET/CEST)","3914",""
"04.01.2017 18:00 - 04.01.2017 19:00 (CET/CEST)","3960",""
"04.01.2017 19:00 - 04.01.2017 20:00 (CET/CEST)","3653",""
"04.01.2017 20:00 - 04.01.2017 21:00 (CET/CEST)","3315",""
"04.01.2017 21:00 - 04.01.2017 22:00 (CET/CEST)","3184",""
"04.01.2017 22:00 - 04.01.2017 23:00 (CET/CEST)","2819",""
"04.01.2017 23:00 - 05.01.2017 00:00 (CET/CEST)","2664",""
"05.01.2017 00:00 - 05.01.2017 01:00 (CET/CEST)","2845",""
"05.01.2017 01:00 - 05.01.2017 02:00 (CET/CEST)","2763",""
"05.01.2017 02:00 - 05.01.2017 03:00 (CET/CEST)","2715",""
"05.01.2017 03:00 - 05.01.2017 04:00 (CET/CEST)","2911",""
"05.01.2017 04:00 - 05.01.2017 05:00 (CET/CEST)","3177",""
"05.01.2017 05:00 - 05.01.2017 06:00 (CET/CEST)","3095",""
"05.01.2017 06:00 - 05.01.2017 07:00 (CET/CEST)","3245",""
"05.01.2017 07:00 - 05.01.2017 08:00 (CET/CEST)","3592",""
"05.01.2017 08:00 - 05.01.2017 09:00 (CET/CEST)","3727",""
"05.01.2017 09:00 - 05.01.2017 10:00 (CET/CEST)","3675",""
"05.01.2017 10:00 - 05.01.2017 11:00 (CET/CEST)","3570",""
"05.01.2017 11:00 - 05.01.2017 12:00 (CET/CEST)","3496",""
"05.01.2017 12:00 - 05.01.2017 13:00 (CET/CEST)","3415",""
"05.01.2017 13:00 - 05.01.2017 14:00 (CET/CEST)","3228",""
"05.01.2017 14:00 - 05.01.2017 15:00 (CET/CEST)","3044",""
"05.01.2017 15:00 - 05.01.2017 16:00 (CET/CEST)","3076",""
"05.01.2017 16:00 - 05.01.2017 17:00 (CET/CEST)","3038",""
"05.01.2017 17:00 - 05.01.2017 18:00 (CET/CEST)","3006",""
"05.01.2017 18:00 - 05.01.2017 19:00 (CET/CEST)","3011",""
"05.01.2017 19:00 - 05.01.2017 20:00 (CET/CEST)","2891",""
"05.01.2017 20:00 - 05.01.2017 21:00 (CET/CEST)","2766",""
"05.01.2017 21:00 - 05.01.2017 22:00 (CET/CEST)","2615",""
"05.01.2017 22:00 - 05.01.2017 23:00 (CET/CEST)","2402",""
"05.01.2017 23:00 - 06.01.2017 00:00 (CET/CEST)","2129",""
"06.01.2017 00:00 - 06.01.2017 01:00 (CET/CEST)","2092",""
"06.01.2017 01:00 - 06.01.2017 02:00 (CET/CEST)","2077",""
"06.01.2017 02:00 - 06.01.2017 03:00 (CET/CEST)","2079",""
"06.01.2017 03:00 - 06.01.2017 04:00 (CET/CEST)","2200",""
"06.01.2017 04:00 - 06.01.2017 05:00 (CET/CEST)","2431",""
"06.01.2017 05:00 - 06.01.2017 06:00 (CET/CEST)","2763",""
"06.01.2017 06:00 - 06.01.2017 07:00 (CET/CEST)","2914",""
"06.01.2017 07:00 - 06.01.2017 08:00 (CET/CEST)","3053",""
"06.01.2017 08:00 - 06.01.2017 09:00 (CET/CEST)","3212",""
"06.01.2017 09:00 - 06.01.2017 10:00 (CET/CEST)","3294",""
"06.01.2017 10:00 - 06.01.2017 11:00 (CET/CEST)","3270",""
"06.01.2017 11:00 - 06.01.2017 12:00 (CET/CEST)","3614",""
"06.01.2017 12:00 - 06.01.2017 13:00 (CET/CEST)","3758",""
"06.01.2017 13:00 - 06.01.2017 14:00 (CET/CEST)","3739",""
"06.01.2017 14:00 - 06.01.2017 15:00 (CET/CEST)","3703",""
"06.01.2017 15:00 - 06.01.2017 16:00 (CET/CEST)","3787",""
"06.01.2017 16:00 - 06.01.2017 17:00 (CET/CEST)","3972",""
"06.01.2017 17:00 - 06.01.2017 18:00 (CET/CEST)","4048",""
"06.01.2017 18:00 - 06.01.2017 19:00 (CET/CEST)","4000",""
"06.01.2017 19:00 - 06.01.2017 20:00 (CET/CEST)","3972",""
"06.01.2017 20:00 - 06.01.2017 21:00 (CET/CEST)","3860",""
"06.01.2017 21:00 - 06.01.2017 22:00 (CET/CEST)","3964",""
"06.01.2017 22:00 - 06.01.2017 23:00 (CET/CEST)","3958",""
"06.01.2017 23:00 - 07.01.2017 00:00 (CET/CEST)","3833",""
"07.01.2017 00:00 - 07.01.2017 01:00 (CET/CEST)","3876",""
"07.01.2017 01:00 - 07.01.2017 02:00 (CET/CEST)","3799",""
"07.01.2017 02:00 - 07.01.2017 03:00 (CET/CEST)","3722",""
"07.01.2017 03:00 - 07.01.2017 04:00 (CET/CEST)","3753",""
"07.01.2017 04:00 - 07.01.2017 05:00 (CET/CEST)","3694",""
"07.01.2017 05:00 - 07.01.2017 06:00 (CET/CEST)","3641",""
"07.01.2017 06:00 - 07.01.2017 07:00 (CET/CEST)","3390",""
"07.01.2017 07:00 - 07.01.2017 08:00 (CET/CEST)","3198",""
"07.01.2017 08:00 - 07.01.2017 09:00 (CET/CEST)","3227",""
"07.01.2017 09:00 - 07.01.2017 10:00 (CET/CEST)","3125",""
"07.01.2017 10:00 - 07.01.2017 11:00 (CET/CEST)","2986",""
"07.01.2017 11:00 - 07.01.2017 12:00 (CET/CEST)","2977",""
"07.01.2017 12:00 - 07.01.2017 13:00 (CET/CEST)","2879",""
"07.01.2017 13:00 - 07.01.2017 14:00 (CET/CEST)","2971",""
"07.01.2017 14:00 - 07.01.2017 15:00 (CET/CEST)","2822",""
"07.01.2017 15:00 - 07.01.2017 16:00 (CET/CEST)","2596",""
"07.01.2017 16:00 - 07.01.2017 17:00 (CET/CEST)","2580",""
"07.01.2017 17:00 - 07.01.2017 18:00 (CET/CEST)","2580",""
"07.01.2017 18:00 - 07.01.2017 19:00 (CET/CEST)","2544",""
"07.01.2017 19:00 - 07.01.2017 20:00 (CET/CEST)","2370",""
"07.01.2017 20:00 - 07.01.2017 21:00 (CET/CEST)","2139",""
"07.01.2017 21:00 - 07.01.2017 22:00 (CET/CEST)","2052",""
"07.01.2017 22:00 - 07.01.2017 23:00 (CET/CEST)","1850",""
"07.01.2017 23:00 - 08.01.2017 00:00 (CET/CEST)","1689",""
"08.01.2017 00:00 - 08.01.2017 01:00 (CET/CEST)","1398",""
"08.01.2017 01:00 - 08.01.2017 02:00 (CET/CEST)","1487",""
"08.01.2017 02:00 - 08.01.2017 03:00 (CET/CEST)","1403",""
"08.01.2017 03:00 - 08.01.2017 04:00 (CET/CEST)","1324",""
"08.01.2017 04:00 - 08.01.2017 05:00 (CET/CEST)","1418",""
"08.01.2017 05:00 - 08.01.2017 06:00 (CET/CEST)","1428",""
"08.01.2017 06:00 - 08.01.2017 07:00 (CET/CEST)","1454",""
"08.01.2017 07:00 - 08.01.2017 08:00 (CET/CEST)","1577",""
"08.01.2017 08:00 - 08.01.2017 09:00 (CET/CEST)","1685",""
"08.01.2017 09:00 - 08.01.2017 10:00 (CET/CEST)","1739",""
"08.01.2017 10:00 - 08.01.2017 11:00 (CET/CEST)","1828",""
"08.01.2017 11:00 - 08.01.2017 12:00 (CET/CEST)","1849",""
"08.01.2017 12:00 - 08.01.2017 13:00 (CET/CEST)","1904",""
"08.01.2017 13:00 - 08.01.2017 14:00 (CET/CEST)","1964",""
"08.01.2017 14:00 - 08.01.2017 15:00 (CET/CEST)","2087",""
"08.01.2017 15:00 - 08.01.2017 16:00 (CET/CEST)","2195",""
"08.01.2017 16:00 - 08.01.2017 17:00 (CET/CEST)","2272",""
"08.01.2017 17:00 - 08.01.2017 18:00 (CET/CEST)","2378",""
"08.01.2017 18:00 - 08.01.2017 19:00 (CET/CEST)","2421",""
"08.01.2017 19:00 - 08.01.2017 20:00 (CET/CEST)","2419",""
"08.01.2017 20:00 - 08.01.2017 21:00 (CET/CEST)","2442",""
"08.01.2017 21:00 - 08.01.2017 22:00 (CET/CEST)","2362",""
"08.01.2017 22:00 - 08.01.2017 23:00 (CET/CEST)","2267",""
"08.01.2017 23:00 - 09.01.2017 00:00 (CET/CEST)","2163",""
"09.01.2017 00:00 - 09.01.2017 01:00 (CET/CEST)","2094",""
"09.01.2017 01:00 - 09.01.2017 02:00 (CET/CEST)","2094",""
"09.01.2017 02:00 - 09.01.2017 03:00 (CET/CEST)","1997",""
"09.01.2017 03:00 - 09.01.2017 04:00 (CET/CEST)","1984",""
"09.01.2017 04:00 - 09.01.2017 05:00 (CET/CEST)","2030",""
"09.01.2017 05:00 - 09.01.2017 06:00 (CET/CEST)","2169",""
"09.01.2017 06:00 - 09.01.2017 07:00 (CET/CEST)","2435",""
"09.01.2017 07:00 - 09.01.2017 08:00 (CET/CEST)","2619",""
"09.01.2017 08:00 - 09.01.2017 09:00 (CET/CEST)","2737",""
"09.01.2017 09:00 - 09.01.2017 10:00 (CET/CEST)","2750",""
"09.01.2017 10:00 - 09.01.2017 11:00 (CET/CEST)","2904",""
"09.01.2017 11:00 - 09.01.2017 12:00 (CET/CEST)","3020",""
"09.01.2017 12:00 - 09.01.2017 13:00 (CET/CEST)","3180",""
"09.01.2017 13:00 - 09.01.2017 14:00 (CET/CEST)","3272",""
"09.01.2017 14:00 - 09.01.2017 15:00 (CET/CEST)","3177",""
"09.01.2017 15:00 - 09.01.2017 16:00 (CET/CEST)","3115",""
"09.01.2017 16:00 - 09.01.2017 17:00 (CET/CEST)","3258",""
"09.01.2017 17:00 - 09.01.2017 18:00 (CET/CEST)","3472",""
"09.01.2017 18:00 - 09.01.2017 19:00 (CET/CEST)","3432",""
"09.01.2017 19:00 - 09.01.2017 20:00 (CET/CEST)","3434",""
"09.01.2017 20:00 - 09.01.2017 21:00 (CET/CEST)","3486",""
"09.01.2017 21:00 - 09.01.2017 22:00 (CET/CEST)","3566",""
"09.01.2017 22:00 - 09.01.2017 23:00 (CET/CEST)","3511",""
"09.01.2017 23:00 - 10.01.2017 00:00 (CET/CEST)","3459",""
"10.01.2017 00:00 - 10.01.2017 01:00 (CET/CEST)","3543",""
"10.01.2017 01:00 - 10.01.2017 02:00 (CET/CEST)","3539",""
"10.01.2017 02:00 - 10.01.2017 03:00 (CET/CEST)","3463",""
"10.01.2017 03:00 - 10.01.2017 04:00 (CET/CEST)","3416",""
"10.01.2017 04:00 - 10.01.2017 05:00 (CET/CEST)","3156",""
"10.01.2017 05:00 - 10.01.2017 06:00 (CET/CEST)","3311",""
"10.01.2017 06:00 - 10.01.2017 07:00 (CET/CEST)","3208",""
"10.01.2017 07:00 - 10.01.2017 08:00 (CET/CEST)","3323",""
"10.01.2017 08:00 - 10.01.2017 09:00 (CET/CEST)","3183",""
"10.01.2017 09:00 - 10.01.2017 10:00 (CET/CEST)","3173",""
"10.01.2017 10:00 - 10.01.2017 11:00 (CET/CEST)","3485",""
"10.01.2017 11:00 - 10.01.2017 12:00 (CET/CEST)","3390",""
"10.01.2017 12:00 - 10.01.2017 13:00 (CET/CEST)","3375",""
"10.01.2017 13:00 - 10.01.2017 14:00 (CET/CEST)","3352",""
"10.01.2017 14:00 - 10.01.2017 15:00 (CET/CEST)","3370",""
"10.01.2017 15:00 - 10.01.2017 16:00 (CET/CEST)","3288",""
"10.01.2017 16:00 - 10.01.2017 17:00 (CET/CEST)","3380",""
"10.01.2017 17:00 - 10.01.2017 18:00 (CET/CEST)","3486",""
"10.01.2017 18:00 - 10.01.2017 19:00 (CET/CEST)","3532",""
"10.01.2017 19:00 - 10.01.2017 20:00 (CET/CEST)","3667",""
"10.01.2017 20:00 - 10.01.2017 21:00 (CET/CEST)","3594",""
"10.01.2017 21:00 - 10.01.2017 22:00 (CET/CEST)","3480",""
"10.01.2017 22:00 - 10.01.2017 23:00 (CET/CEST)","3402",""
"10.01.2017 23:00 - 11.01.2017 00:00 (CET/CEST)","3239",""
"11.01.2017 00:00 - 11.01.2017 01:00 (CET/CEST)","3457",""
"11.01.2017 01:00 - 11.01.2017 02:00 (CET/CEST)","3567",""
"11.01.2017 02:00 - 11.01.2017 03:00 (CET/CEST)","3578",""
"11.01.2017 03:00 - 11.01.2017 04:00 (CET/CEST)","3706",""
"11.01.2017 04:00 - 11.01.2017 05:00 (CET/CEST)","3730",""
"11.01.2017 05:00 - 11.01.2017 06:00 (CET/CEST)","4122",""
"11.01.2017 06:00 - 11.01.2017 07:00 (CET/CEST)","4351",""
"11.01.2017 07:00 - 11.01.2017 08:00 (CET/CEST)","4635",""
"11.01.2017 08:00 - 11.01.2017 09:00 (CET/CEST)","4684",""
"11.01.2017 09:00 - 11.01.2017 10:00 (CET/CEST)","4597",""
"11.01.2017 10:00 - 11.01.2017 11:00 (CET/CEST)","4442",""
"11.01.2017 11:00 - 11.01.2017 12:00 (CET/CEST)","4580",""
"11.01.2017 12:00 - 11.01.2017 13:00 (CET/CEST)","4399",""
"11.01.2017 13:00 - 11.01.2017 14:00 (CET/CEST)","4404",""
"11.01.2017 14:00 - 11.01.2017 15:00 (CET/CEST)","4489",""
"11.01.2017 15:00 - 11.01.2017 16:00 (CET/CEST)","4465",""
"11.01.2017 16:00 - 11.01.2017 17:00 (CET/CEST)","4430",""
"11.01.2017 17:00 - 11.01.2017 18:00 (CET/CEST)","4528",""
"11.01.2017 18:00 - 11.01.2017 19:00 (CET/CEST)","4451",""
"11.01.2017 19:00 - 11.01.2017 20:00 (CET/CEST)","4325",""
"11.01.2017 20:00 - 11.01.2017 21:00 (CET/CEST)","4200",""
"11.01.2017 21:00 - 11.01.2017 22:00 (CET/CEST)","3892",""
"11.01.2017 22:00 - 11.01.2017 23:00 (CET/CEST)","3726",""
"11.01.2017 23:00 - 12.01.2017 00:00 (CET/CEST)","3820",""
"12.01.2017 00:00 - 12.01.2017 01:00 (CET/CEST)","3520",""
"12.01.2017 01:00 - 12.01.2017 02:00 (CET/CEST)","3379",""
"12.01.2017 02:00 - 12.01.2017 03:00 (CET/CEST)","3229",""
"12.01.2017 03:00 - 12.01.2017 04:00 (CET/CEST)","3112",""
"12.01.2017 04:00 - 12.01.2017 05:00 (CET/CEST)","3306",""
"12.01.2017 05:00 - 12.01.2017 06:00 (CET/CEST)","3536",""
"12.01.2017 06:00 - 12.01.2017 07:00 (CET/CEST)","4171",""
"12.01.2017 07:00 - 12.01.2017 08:00 (CET/CEST)","4417",""
"12.01.2017 08:00 - 12.01.2017 09:00 (CET/CEST)","4451",""
"12.01.2017 09:00 - 12.01.2017 10:00 (CET/CEST)","4509",""
"12.01.2017 10:00 - 12.01.2017 11:00 (CET/CEST)","4548",""
"12.01.2017 11:00 - 12.01.2017 12:00 (CET/CEST)","4484",""
"12.01.2017 12:00 - 12.01.2017 13:00 (CET/CEST)","4479",""
"12.01.2017 13:00 - 12.01.2017 14:00 (CET/CEST)","4416",""
"12.01.2017 14:00 - 12.01.2017 15:00 (CET/CEST)","4405",""
"12.01.2017 15:00 - 12.01.2017 16:00 (CET/CEST)","4462",""
"12.01.2017 16:00 - 12.01.2017 17:00 (CET/CEST)","4293",""
"12.01.2017 17:00 - 12.01.2017 18:00 (CET/CEST)","4248",""
"12.01.2017 18:00 - 12.01.2017 19:00 (CET/CEST)","3862",""
"12.01.2017 19:00 - 12.01.2017 20:00 (CET/CEST)","3435",""
"12.01.2017 20:00 - 12.01.2017 21:00 (CET/CEST)","2995",""
"12.01.2017 21:00 - 12.01.2017 22:00 (CET/CEST)","2773",""
"12.01.2017 22:00 - 12.01.2017 23:00 (CET/CEST)","2375",""
"12.01.2017 23:00 - 13.01.2017 00:00 (CET/CEST)","2128",""
"13.01.2017 00:00 - 13.01.2017 01:00 (CET/CEST)","1894",""
"13.01.2017 01:00 - 13.01.2017 02:00 (CET/CEST)","1606",""
"13.01.2017 02:00 - 13.01.2017 03:00 (CET/CEST)","1454",""
"13.01.2017 03:00 - 13.01.2017 04:00 (CET/CEST)","1469",""
"13.01.2017 04:00 - 13.01.2017 05:00 (CET/CEST)","1420",""
"13.01.2017 05:00 - 13.01.2017 06:00 (CET/CEST)","1443",""
"13.01.2017 06:00 - 13.01.2017 07:00 (CET/CEST)","1815",""
"13.01.2017 07:00 - 13.01.2017 08:00 (CET/CEST)","2216",""
"13.01.2017 08:00 - 13.01.2017 09:00 (CET/CEST)","2769",""
"13.01.2017 09:00 - 13.01.2017 10:00 (CET/CEST)","2561",""
"13.01.2017 10:00 - 13.01.2017 11:00 (CET/CEST)","2652",""
"13.01.2017 11:00 - 13.01.2017 12:00 (CET/CEST)","2689",""
"13.01.2017 12:00 - 13.01.2017 13:00 (CET/CEST)","2656",""
"13.01.2017 13:00 - 13.01.2017 14:00 (CET/CEST)","2626",""
"13.01.2017 14:00 - 13.01.2017 15:00 (CET/CEST)","2523",""
"13.01.2017 15:00 - 13.01.2017 16:00 (CET/CEST)","2379",""
"13.01.2017 16:00 - 13.01.2017 17:00 (CET/CEST)","2458",""
"13.01.2017 17:00 - 13.01.2017 18:00 (CET/CEST)","2527",""
"13.01.2017 18:00 - 13.01.2017 19:00 (CET/CEST)","2474",""
"13.01.2017 19:00 - 13.01.2017 20:00 (CET/CEST)","2126",""
"13.01.2017 20:00 - 13.01.2017 21:00 (CET/CEST)","2144",""
"13.01.2017 21:00 - 13.01.2017 22:00 (CET/CEST)","2299",""
"13.01.2017 22:00 - 13.01.2017 23:00 (CET/CEST)","2279",""
"13.01.2017 23:00 - 14.01.2017 00:00 (CET/CEST)","2155",""
"14.01.2017 00:00 - 14.01.2017 01:00 (CET/CEST)","2072",""
"14.01.2017 01:00 - 14.01.2017 02:00 (CET/CEST)","2221",""
"14.01.2017 02:00 - 14.01.2017 03:00 (CET/CEST)","2638",""
"14.01.2017 03:00 - 14.01.2017 04:00 (CET/CEST)","2900",""
"14.01.2017 04:00 - 14.01.2017 05:00 (CET/CEST)","2905",""
"14.01.2017 05:00 - 14.01.2017 06:00 (CET/CEST)","2847",""
"14.01.2017 06:00 - 14.01.2017 07:00 (CET/CEST)","3122",""
"14.01.2017 07:00 - 14.01.2017 08:00 (CET/CEST)","2902",""
"14.01.2017 08:00 - 14.01.2017 09:00 (CET/CEST)","2868",""
"14.01.2017 09:00 - 14.01.2017 10:00 (CET/CEST)","3201",""
"14.01.2017 10:00 - 14.01.2017 11:00 (CET/CEST)","3124",""
"14.01.2017 11:00 - 14.01.2017 12:00 (CET/CEST)","3076",""
"14.01.2017 12:00 - 14.01.2017 13:00 (CET/CEST)","3028",""
"14.01.2017 13:00 - 14.01.2017 14:00 (CET/CEST)","2988",""
"14.01.2017 14:00 - 14.01.2017 15:00 (CET/CEST)","2966",""
"14.01.2017 15:00 - 14.01.2017 16:00 (CET/CEST)","3057",""
"14.01.2017 16:00 - 14.01.2017 17:00 (CET/CEST)","3152",""
"14.01.2017 17:00 - 14.01.2017 18:00 (CET/CEST)","3218",""
"14.01.2017 18:00 - 14.01.2017 19:00 (CET/CEST)","3177",""
"14.01.2017 19:00 - 14.01.2017 20:00 (CET/CEST)","3222",""
"14.01.2017 20:00 - 14.01.2017 21:00 (CET/CEST)","3206",""
"14.01.2017 21:00 - 14.01.2017 22:00 (CET/CEST)","3100",""
"14.01.2017 22:00 - 14.01.2017 23:00 (CET/CEST)","2982",""
"14.01.2017 23:00 - 15.01.2017 00:00 (CET/CEST)","2783",""
"15.01.2017 00:00 - 15.01.2017 01:00 (CET/CEST)","2625",""
"15.01.2017 01:00 - 15.01.2017 02:00 (CET/CEST)","2474",""
"15.01.2017 02:00 - 15.01.2017 03:00 (CET/CEST)","2406",""
"15.01.2017 03:00 - 15.01.2017 04:00 (CET/CEST)","2353",""
"15.01.2017 04:00 - 15.01.2017 05:00 (CET/CEST)","2230",""
"15.01.2017 05:00 - 15.01.2017 06:00 (CET/CEST)","2043",""
"15.01.2017 06:00 - 15.01.2017 07:00 (CET/CEST)","1861",""
"15.01.2017 07:00 - 15.01.2017 08:00 (CET/CEST)","1745",""
"15.01.2017 08:00 - 15.01.2017 09:00 (CET/CEST)","2020",""
"15.01.2017 09:00 - 15.01.2017 10:00 (CET/CEST)","1968",""
"15.01.2017 10:00 - 15.01.2017 11:00 (CET/CEST)","2076",""
"15.01.2017 11:00 - 15.01.2017 12:00 (CET/CEST)","2095",""
"15.01.2017 12:00 - 15.01.2017 13:00 (CET/CEST)","2224",""
"15.01.2017 13:00 - 15.01.2017 14:00 (CET/CEST)","2077",""
"15.01.2017 14:00 - 15.01.2017 15:00 (CET/CEST)","2005",""
"15.01.2017 15:00 - 15.01.2017 16:00 (CET/CEST)","2147",""
"15.01.2017 16:00 - 15.01.2017 17:00 (CET/CEST)","2267",""
"15.01.2017 17:00 - 15.01.2017 18:00 (CET/CEST)","2204",""
"15.01.2017 18:00 - 15.01.2017 19:00 (CET/CEST)","2186",""
"15.01.2017 19:00 - 15.01.2017 20:00 (CET/CEST)","2202",""
